,beds,county,house_address,house_type,price
193,4 Bed,meath,"Corballis, Donore, Drogheda, Co. Meath",House,1700.0
194,3 Bed,offaly,"7 Louisa Crescent, Redwood, Tullamore, Co. Offaly",House,1650.0
196,3 Bed,offaly,"Spollanstown Wood, Tullamore, Co. Offaly",House,1595.0
198,4 Bed,offaly,"The Priory, Kilcormac, Co. Offaly",House,1200.0
201,3 Bed,roscommon,"15 Brooklawn, Ballaghaderreen, Co. Roscommon",House,950.0
202,3 Bed,roscommon,"Milltown, Castleplunket, Castleplunkett, Co. Roscommon",House,1100.0
203,3 Bed,roscommon,"12 Priory Park, Ballaghaderreen, Co. Roscommon",House,875.0
205,3 Bed,roscommon,"Cherrytrees, Kilbride, Carrick-on-Shannon, Co. Roscommon",House,900.0
208,3 Bed,roscommon,"Laragh, Ballintubber, Co. Roscommon",House,1100.0
210,3 Bed,roscommon,"Moore, Athlone, Co. Roscommon",House,1400.0
214,3 Bed,sligo,"Cois Abhainn, Charlestown, Co. Mayo",House,1000.0
218,4 Bed,sligo,"10 beechwood court, oldbundoran Road, Sligo, Co. Sligo",House,1400.0
220,4 Bed,sligo,"Meadow Brook Mountain Road, Tubbercurry, Co. Sligo",House,900.0
228,3 Bed,tipperary,"Upper Main Street, Borrisoleigh, Co. Tipperary",House,1100.0
229,4 Bed,tipperary,"Loughbeg, Thurles, Co. Tipperary",House,1150.0
230,3 Bed,tipperary,"summerhill nenagh, Nenagh, Co. Tipperary",House,1300.0
231,3 Bed,waterford,"West Lodge, Ballyduff Upper, Ballyduff, Co. Waterford",House,1300.0
232,4 Bed,waterford,"Bath street, Co. Waterford",House,2400.0
234,3 Bed,waterford,"37 Lios An Oir Lismore Co. Waterford, Lismore, Co. Waterford",House,1200.0
236,3 Bed,waterford,"Fairfield Park, Old Tramore Road, Co. Waterford",House,2300.0
238,3 Bed,waterford,"Lismore Park, Co. Waterford",House,2250.0
239,3 Bed,waterford,"Holly Crescent, Templars Hall, Beside Waterford, Co. Waterford",House,1100.0
241,4 Bed,waterford,"Closegate, Co. Waterford",House,1600.0
242,3 Bed,waterford,"Holly Walk, Templars Hall, Co. Waterford",House,1600.0
243,3 Bed,waterford,"HollyWalk, Templars Hall, Co. Waterford",House,1400.0
244,4 Bed,waterford,"HollyWalk, Templars Hall, Co. Waterford",House,1200.0
245,3 Bed,waterford,"Claremont Road, Co. Waterford",House,2000.0
246,3 Bed,waterford,"Templars Hall, Kilbarry, Co. Waterford",House,1200.0
248,3 Bed,westmeath,"Killachonna, Mount Temple Road, Moate, Co. Westmeath",House,1500.0
257,4 Bed,wexford,"4 Willow Gargens, Coolroe Ford, Coolroe, Kilmuckridge, Co. Wexford",House,1800.0
258,4 Bed,wexford,"1 Scholar's Rest, Gorey, Co. Wexford",House,1200.0
259,3 Bed,wexford,"Cromwellsfort, Mullgannon, Wexford Town, Co. Wexford",House,1200.0
260,3 Bed,wexford,"Saint Martha, Bargy Commons, Murrintown, Co. Wexford",House,1300.0
261,3 Bed,wexford,"Hazelwood, Bridgetown, Co. Wexford",House,950.0
262,3 Bed,wexford,"Richfield, Duncormick, Co. Wexford",House,2000.0
263,3 Bed,wexford,"Garrywilliam, Crossabeg, Co. Wexford",House,1300.0
264,4 Bed,wexford,"Ballynellard, Blackwater, Co. Wexford",House,1400.0
265,3 Bed,wexford,"Annagh Long, Gorey, Co. Wexford",House,1250.0
266,3 Bed,wexford,"Clonard Village, Wexford Town, Co. Wexford",House,1250.0
270,3 Bed,wicklow,"WEAVER'S SQUARE, BALTINGLASS, Baltinglass, Co. Wicklow",House,1900.0
271,3 Bed,wicklow,"Moyntiagh, Rathdrum, Co. Wicklow",House,1630.0
272,4 Bed,wicklow,"Ballynerrin Road, Ballynerrin Road, Wicklow Town, Co. Wicklow",House,2500.0
279,4 Bed,wicklow,"2 The Courtyard, Enniskerry, Co. Wicklow",House,3500.0
